a_1 a_2 chi_1 chi_2 chirp_mass dec geocent_time lambda_1 lambda_2 luminosity_distance mass_1 mass_2 mass_ratio phase phi_12 phi_jl psi ra theta_jn tilt_1 tilt_2
0.1447422057390213 0.7245799899101257 0.1447422 -0.72458 2.2595823 -0.03888526 0.0 0.0 8.138749 188.9923 2.963846 2.280858 0.7695603 2.232483 0.0 3.141592653589793 3.700813 5.257181915184191 1.831354 0.0 3.141592653589793
0.6359506845474243 0.24121560156345367 0.6359507 -0.2412156 2.4860144 0.04073184 0.0 0.0 53.3778 241.2493 4.482543 1.886578 0.42087224 5.484009 0.0 0.0 5.155243 1.1866380470996276 1.831394 0.0 3.141592653589793
0.07143548130989075 0.7093570232391357 0.07143548 -0.709357 2.4610376 -0.1530414 0.0 0.0 82.659805 99.34007 4.698563 1.779872 0.37881196 2.187344 0.0 3.141592653589793 3.811992 6.192124216488736 1.015237 0.0 3.141592653589793
0.4102292060852051 0.36857619881629944 -0.4102292 0.3685762 2.7268965 0.3160281 0.0 0.0 0.0 176.5579 3.144977 3.119846 0.99200916 1.86616 0.0 3.141592653589793 1.14601 0.7661201833502176 1.130597 3.141592653589793 0.0
0.6698009967803955 0.5592901110649109 0.669801 0.5592901 2.5753539 -0.05557154 0.0 0.0 0.0 188.8681 3.307808 2.65218 0.8017938 4.677267 0.0 -0.0 4.644742 1.1719093036912867 1.377638 0.0 0.0
0.5453314185142517 0.0655554011464119 0.5453314 -0.0655554 2.9533846 -0.9535244 0.0 0.0 0.0 112.4938 3.427036 3.358476 0.97999436 2.60882 0.0 3.141592653589793 3.014206 0.3838347965751794 2.754344 0.0 3.141592653589793
0.727342426776886 0.3850162923336029 0.7273424 -0.3850163 2.226543 -0.2967319 0.0 0.0 12.310703 92.56832 2.973879 2.209335 0.74291354 2.963645 0.0 3.141592653589793 4.257832 1.7380628289351492 2.141209 0.0 3.141592653589793
0.6719871759414673 0.2756248116493225 -0.6719872 0.2756248 2.3187137 0.3474096 0.0 0.0 33.694862 177.7195 3.617525 1.995574 0.5516407 3.576162 0.0 -0.0 5.058352 0.2378297739343651 2.029587 3.141592653589793 0.0
0.6413841843605042 0.2746303975582123 0.6413842 -0.2746304 2.499942 -0.07273726 0.0 0.0 51.664673 234.398 4.515235 1.894443 0.41956687 3.784514 0.0 -0.0 0.3481412 1.1328856773865894 2.271324 0.0 3.141592653589793
0.5284420847892761 0.009786258451640606 -0.5284421 -0.009786258 2.6614938 -0.8455465 0.0 0.0 39.19432 187.1796 4.971816 1.960267 0.39427584 2.712989 0.0 3.141592653589793 4.768049 0.10218476036986601 1.764944 3.141592653589793 3.141592653589793
0.4039669930934906 0.6187729239463806 -0.403967 -0.6187729 2.761521 -1.0614 0.0 0.0 8.995497 173.3273 4.550498 2.264722 0.49768665 5.074259 0.0 0.0 3.867973 5.817785406539265 2.577979 3.141592653589793 3.141592653589793
