H_eff5 H_eff8 a_1 a_2 chi_1 chi_2 chirp_mass dec geocent_time lambda_1 lambda_2 luminosity_distance mass_1 mass_2 mass_ratio phase phi_12 phi_jl psi ra theta_jn tilt_1 tilt_2
0.0 0.0 0.11340010166168213 0.4621985852718353 -0.1134001 -0.4621986 3.2354605 0.7436306 0.0 0.0 0.0 117.3727 4.19273 3.303826 0.78798926 1.699313 0.0 3.141592653589793 3.485677 1.6583182369608451 0.6940988 3.141592653589793 3.141592653589793
0.0 0.0 0.4873634874820709 0.5123475193977356 0.4873635 0.5123475 4.058008 0.5822855 0.0 0.0 0.0 118.5834 4.85317 4.478703 0.9228408 2.708348 0.0 3.141592653589793 0.6352183 5.921527982273545 1.605204 0.0 0.0
0.0 0.0 0.7218645215034485 0.25874510407447815 -0.7218645 -0.2587451 3.4382234 0.00164187 0.0 0.0 0.0 188.4083 4.285855 3.644291 0.8503067 0.3349948 0.0 0.0 3.672152 1.479580095455681 1.85496 3.141592653589793 3.141592653589793
0.0 0.0 0.47859489917755127 0.40968748927116394 0.4785949 0.4096875 3.2479012 0.8826835 0.0 0.0 0.0 243.4033 3.964827 3.513263 0.8861075 3.752862 0.0 -0.0 3.406777 4.5145224423571975 0.8689131 0.0 0.0
0.0 0.0 0.3558005094528198 0.5998870730400085 0.3558005 -0.5998871 3.8169525 -1.032683 0.0 0.0 0.0 230.3086 4.961967 3.88585 0.78312695 1.54353 0.0 0.0 3.909819 4.085038606800886 2.444872 0.0 3.141592653589793
0.0 0.0 0.633843719959259 0.12548929452896118 -0.6338437 -0.1254893 3.372815 -0.5591339 0.0 0.0 0.0 230.6245 4.052248 3.705736 0.9144889 1.137375 0.0 0.0 0.2236355 0.17217513742814106 2.398368 3.141592653589793 3.141592653589793
0.0 0.0 0.5430585145950317 0.43409648537635803 0.5430585 -0.4340965 3.6759427 0.1598622 0.0 0.0 0.0 149.905 4.545301 3.926908 0.86394894 1.618821 0.0 3.141592653589793 0.2882819 4.001592980955543 2.230417 0.0 3.141592653589793
0.0 0.0 0.45856231451034546 0.4630812108516693 -0.4585623 -0.4630812 4.1243825 -0.7159051 0.0 0.0 0.0 181.0957 4.908265 4.574142 0.9319264 4.605783 0.0 -0.0 1.073458 1.7240278484388654 1.641492 3.141592653589793 3.141592653589793
0.0 0.0 0.06250456720590591 0.40053460001945496 -0.06250457 0.4005346 3.623701 -1.18029 0.0 0.0 0.0 187.0345 4.773469 3.643039 0.7631848 5.791844 0.0 0.0 5.266244 4.449228820212234 2.281075 3.141592653589793 0.0
0.0 0.0 0.23226860165596008 0.5142732858657837 0.2322686 -0.5142733 3.3388255 -0.02547885 0.0 0.0 0.0 138.5219 4.817769 3.083488 0.640024 4.507549 0.0 -0.0 2.710783 3.638000664835495 1.588297 0.0 3.141592653589793
0.0 0.0 0.16371209919452667 0.03973466902971268 0.1637121 -0.03973467 3.5026195 0.07871397 0.0 0.0 0.0 182.6214 4.160216 3.89205 0.9355404 2.340946 0.0 3.141592653589793 3.784508 1.1497444566195298 0.9976995 0.0 3.141592653589793
0.0 0.0 0.2818160951137543 0.6755111217498779 0.2818161 -0.6755111 3.2479463 -0.9485228 0.0 0.0 0.0 135.7548 4.466022 3.13623 0.7022424 3.672404 0.0 -0.0 5.499253 1.0049512696424898 1.362793 0.0 3.141592653589793
0.0 0.0 0.5072340965270996 0.08244834095239639 0.5072341 -0.08244834 3.3374639 0.2024777 0.0 0.0 0.0 144.8011 4.0012 3.674618 0.91837895 2.859581 0.0 3.141592653589793 5.584727 3.755640273826586 0.5374093 0.0 3.141592653589793
0.0 0.0 0.1714920997619629 0.28171101212501526 -0.1714921 0.281711 3.3856947 -0.1978176 0.0 0.0 0.0 246.2514 4.398268 3.449101 0.78419524 1.849444 0.0 3.141592653589793 2.826034 2.2325308350556696 1.371588 3.141592653589793 0.0
0.0 0.0 0.0022581329103559256 0.12206509709358215 0.002258133 -0.1220651 4.063707 -0.4954704 0.0 0.0 0.0 185.5609 4.841584 4.501779 0.9298153 6.19452 0.0 0.0 5.862212 4.186636536003945 2.839684 0.0 3.141592653589793
0.0 0.0 0.5360153913497925 0.6463459730148315 -0.5360154 -0.646346 3.392985 -0.9367692 0.0 0.0 0.0 135.2023 3.98301 3.814215 0.9576212 0.8281917 0.0 0.0 4.255841 2.0189123442543604 0.8702999 3.141592653589793 3.141592653589793
0.0 0.0 0.3343510031700134 0.5610712170600891 0.334351 0.5610712 3.3851032 -0.6911659 0.0 0.0 0.0 169.2202 4.35309 3.482076 0.79990906 0.104829 0.0 0.0 2.568865 2.9587302076253508 1.350192 0.0 0.0
0.0 0.0 0.2846406102180481 0.592962384223938 -0.2846406 0.5929624 3.7609742 0.2400029 0.0 0.0 0.0 162.5426 4.439938 4.204363 0.9469418 2.476537 0.0 3.141592653589793 4.697592 4.234273588023072 1.60315 3.141592653589793 0.0
0.0 0.0 0.32016828656196594 0.7464486956596375 0.3201683 -0.7464487 3.3084185 1.494609 0.0 0.0 0.0 196.7553 4.068898 3.552836 0.87316906 3.941669 0.0 -0.0 0.9010064 0.7878755951577645 1.734837 0.0 3.141592653589793
0.0 0.0 0.0712643414735794 0.6508687138557434 0.07126434 -0.6508687 3.201518 -0.6859515 0.0 0.0 0.0 245.8922 4.916901 2.79432 0.5683092 0.2123333 0.0 0.0 1.791078 0.45885680280198216 0.3241868 0.0 3.141592653589793
0.0 0.0 0.47625258564949036 0.3723522126674652 0.4762526 0.3723522 3.8574073 0.7542931 0.0 0.0 0.0 224.4931 4.570944 4.29616 0.9398847 0.6545596 0.0 0.0 0.1257521 5.311689935566548 1.326143 0.0 0.0
0.0 0.0 0.24229350686073303 0.706641674041748 0.2422935 -0.7066417 3.1941361 -0.07133118 0.0 0.0 0.0 144.5435 3.799187 3.544319 0.9329151 1.681499 0.0 3.141592653589793 1.862661 2.3868924386378225 0.7337465 0.0 3.141592653589793
0.0 0.0 0.6459429264068604 0.13968859612941742 -0.6459429 -0.1396886 3.3739507 -0.9170378 0.0 0.0 0.0 209.8307 4.025515 3.732433 0.92719394 0.2233966 0.0 0.0 1.596351 0.0032742973461594715 1.548469 3.141592653589793 3.141592653589793
